Ref no.,Address,Lat long
85," A- block, A-682/1, harsh international pg, Shastri Nagar, Delhi, Delhi - NCR","28.6752562,77.1803002"
239," Flatno A 8 jal vayu vihar society, Sector 30, Gurgaon, Delhi - NCR","28.45877,77.0520279"
169," H.no1072,house board colony, Sector 21C, 121001, Faridabad, Delhi - NCR","28.4331913,77.2943286"
12," 2/7, near police station, kalka ji Extn., 110019, Delhi, Delhi - NCR","28.5471533,77.2556287"
109," Top Floor, 185, Near Mukherjee Nagar, Indira Vihar, 110009, Delhi, Delhi - NCR","28.70681,77.21518"
202," Hno 89,1st floor,bh(east), Shalimar Bagh, 110088, Delhi, Delhi - NCR","28.7124274,77.1527828"
211," 42-43 UB, Kamla nagar, Delhi, Delhi - NCR","28.6815755,77.2049266"
142," J-4/46 dda flats, Kalka ji, 110019, Delhi, Delhi - NCR","28.5298516,77.2541704"
108," B-9/17, sector 18, Rohini, Delhi, Delhi - NCR","28.7407689,77.1341642"
63," 1251 house board colony, Sector 17, 121002, Faridabad, Delhi - NCR","28.408766,77.329931"
17," 3rd floor,hno.1064, house board colony, Sector 21C, 121001, Faridabad, Delhi - NCR","28.4327266,77.294334"
190," House no 52 akash bihar colony sikri kalan, modinagar district, Ghaziabad, Delhi - NCR","28.833028,77.5654373"
31," G-17/17 second floor sector 15, Rohini, 110085, Delhi, Delhi - NCR","28.7309509,77.1256207"
95," 71 uco apartment,  sector 9, Rohini, 110085, Delhi, Delhi - NCR","28.7143568,77.1208431"
111," 1st floor, 10A, street no.2, behind Nazeer's, South Ganesh nagar, 110092, Delhi, Delhi - NCR","28.6263511,77.290691"
24," 19/11, Pratap Nagar, Gurgaon, Delhi - NCR","28.4640322,77.0210463"
129," Jmd niwas, R4, Shakarpur main market, opposite HDFC ATM, Lakshmi nagar, Delhi, Delhi - NCR","28.6327975,77.2758757"
91," 22 UA, Saraswati Niwas, Jawahar Nagar, 110007, Delhi, Delhi - NCR","28.6801045,77.2080152"
227," Apurva PG, B10 A, Vijay nagar single story, Delhi, Delhi - NCR","28.6905905,77.2016685"
28," A-48, Street No.6, Rajgarh colony, Gandhinagar, Gujrat","23.2207097,72.6455481"
228," 75 Vir Nagar, Jain Colony, Delhi, Delhi - NCR","28.6850372,77.1943102"
94," A114 phase 2, Ashok vihar, 110052, Delhi, Delhi - NCR","28.6915784,77.1761521"
196," 524-2nd floor, Nirankari colony, 110009, Delhi, Delhi - NCR","28.7164314,77.2066354"
187," 56/35, Chandrawal, Kamla Nagar, Delhi, Delhi - NCR","28.6784315,77.2019916"
241," D2/12 Rajasthali Appartment,Madhuban Chowk, Pitampura, 110088, Delhi, Delhi - NCR","28.7061826,77.1336472"
25," Rakhi house, 35-UA, floor no. 3, jawahar nagar, 110005, Delhi, Delhi - NCR","28.6801545,77.2080635"
133," J-1/246 dda flats, Kalka ji, 110019, Delhi, Delhi - NCR","28.5298033,77.2542831"
178," H 242, phase 1, Ashok vihar, 110052, Delhi, Delhi - NCR","28.6880035,77.1667556"
43," ho no.60, sec 25 1st floor , pocket one, Rohini, 110085, Delhi, Delhi - NCR","28.73251,77.0945873"
105," E1, aruna park, E block, Laxmi nagar, 110092, Delhi, Delhi - NCR","28.6299847,77.283088"
171," 2621 hudson lane, top floor, kingsway camp, GTB nagar, Delhi, Delhi - NCR","28.6958372,77.2064545"
201," ashwini pg sec 126 near amity university, Delhi, Delhi - NCR","28.5392048,77.3412167"
102," 124-D, Upper ground floor, Kamla Nagar, 110007, Delhi, Delhi - NCR","28.6817252,77.2048273"
42," F-77, Upper Ground Floor, Kamla Nagar, 110007, Delhi, Delhi - NCR","28.6829763,77.2023936"
107," LU-97, Vishakha Enclave, Pitampura, 110088, Delhi, Delhi - NCR","28.7082795,77.143794"
245,"1216, street 6, Kamla Nagar, Delhi, Delhi - NCR","28.6890845,77.1993568"
